,Codi_Districte,Nom_Districte,Nom_Barri,AEB,Seccio_Censal,Valor,Codi_Barri,_id,Any
0,1,Ciutat Vella,el Raval,1,1001,70,1,1,2024
1,1,Ciutat Vella,el Raval,1,1002,74,1,2,2024
2,1,Ciutat Vella,el Raval,2,1003,218,1,3,2024
3,1,Ciutat Vella,el Raval,2,1004,160,1,4,2024
4,1,Ciutat Vella,el Raval,3,1005,103,1,5,2024
5,1,Ciutat Vella,el Raval,3,1006,67,1,6,2024
6,1,Ciutat Vella,el Raval,3,1007,101,1,7,2024
7,1,Ciutat Vella,el Raval,4,1008,202,1,8,2024
8,1,Ciutat Vella,el Raval,4,1009,124,1,9,2024
9,1,Ciutat Vella,el Raval,4,1010,118,1,10,2024
10,1,Ciutat Vella,el Raval,5,1011,173,1,11,2024
11,1,Ciutat Vella,el Raval,5,1012,93,1,12,2024
12,1,Ciutat Vella,el Raval,5,1013,46,1,13,2024
13,1,Ciutat Vella,el Raval,6,1014,77,1,14,2024
14,1,Ciutat Vella,el Raval,6,1015,80,1,15,2024
15,1,Ciutat Vella,el Raval,6,1016,97,1,16,2024
16,1,Ciutat Vella,el Raval,6,1017,131,1,17,2024
17,1,Ciutat Vella,el Raval,7,1018,66,1,18,2024
18,1,Ciutat Vella,el Raval,7,1019,140,1,19,2024
19,1,Ciutat Vella,el Raval,7,1020,121,1,20,2024
20,1,Ciutat Vella,el Raval,8,1021,130,1,21,2024
21,1,Ciutat Vella,el Barri Gòtic,9,1022,113,2,22,2024
22,1,Ciutat Vella,el Barri Gòtic,9,1023,95,2,23,2024
23,1,Ciutat Vella,el Barri Gòtic,10,1025,74,2,24,2024
24,1,Ciutat Vella,el Barri Gòtic,10,1026,890,2,25,2024
25,1,Ciutat Vella,el Barri Gòtic,10,1027,126,2,26,2024
26,1,Ciutat Vella,el Barri Gòtic,11,1028,123,2,27,2024
27,1,Ciutat Vella,el Barri Gòtic,11,1029,97,2,28,2024
28,1,Ciutat Vella,el Barri Gòtic,12,1030,147,2,29,2024
29,1,Ciutat Vella,el Barri Gòtic,12,1031,122,2,30,2024
30,1,Ciutat Vella,la Barceloneta,13,1032,78,3,31,2024
31,1,Ciutat Vella,la Barceloneta,13,1033,68,3,32,2024
32,1,Ciutat Vella,la Barceloneta,13,1034,63,3,33,2024
33,1,Ciutat Vella,la Barceloneta,14,1035,74,3,34,2024
34,1,Ciutat Vella,la Barceloneta,14,1036,45,3,35,2024
35,1,Ciutat Vella,la Barceloneta,15,1037,65,3,36,2024
36,1,Ciutat Vella,la Barceloneta,15,1038,90,3,37,2024
37,1,Ciutat Vella,la Barceloneta,15,1039,60,3,38,2024
38,1,Ciutat Vella,la Barceloneta,15,1040,60,3,39,2024
39,1,Ciutat Vella,la Barceloneta,15,1041,87,3,40,2024
40,1,Ciutat Vella,la Barceloneta,15,1042,80,3,41,2024
41,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1043,72,4,42,2024
42,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1044,78,4,43,2024
43,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1045,121,4,44,2024
44,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1046,74,4,45,2024
45,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1047,90,4,46,2024
46,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1048,108,4,47,2024
47,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1049,64,4,48,2024
48,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",18,1050,89,4,49,2024
49,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",18,1051,97,4,50,2024
50,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",18,1052,83,4,51,2024
51,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",19,1053,76,4,52,2024
52,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",19,1054,48,4,53,2024
